カタカナ, katagana, english, chinese
バッグ, baggu, bag, 包包
ノート, nooto, notebook, 笔记本
ペン, pen, pen, 笔
カメラ, kamera, camera, 相机
テレビ, terebi, television, 电视
ラジオ, rajio, radio, 收音机
コンピューター, konpyuutaa, computer, 电脑
パソコン, pasokon, personal computer, 个人电脑
スマートフォン, sumaatofon, smartphone, 智能手机
タブレット, taburetto, tablet, 平板电脑
ケイタイ, keitai, mobile phone, 手机
テーブル, teeburu, table, 桌子
キー, kii, key, 钥匙
シルク, shiruku, silk, 丝绸
ハンカチ, hankachi, handkerchief, 手帕
ロンドン, rondon, London, 伦敦
パリ, pari, Paris, 巴黎
ニューヨーク, nyuuyooku, New York, 纽约
ロサンゼルス, rosanjeresu, Los Angeles, 洛杉矶
デパート, depaato, department store, 百货商店
マンション, manshon, apartment, 公寓
トイレ, toire, toilet, 厕所
エスカレーター, esukareetaa, escalator, 自动扶梯
デジカメ, dejikame, digital camera, 数码相机
シャンハイ, shanhai, Shanghai, 上海
ビル, biru, building, 大楼
スイッチ, suicchi, switch, 开关
ビデオ, bideo, video, 录像
サッカーボール, sakkaa booru, soccer ball, 足球
ウイスキー, uisukii, whiskey, 威士忌
ビール, biiru, beer, 啤酒
テスト, tesuto, test, 测试
パーテイー, paatii, party, 聚会
ベッド, beddo, Bed, 床
コンサート, konsaato, concert, 音乐会
メーリークリスメス, meerii kurisumasu, Merry Christmas, 圣诞快乐
フエリー, fuerii, ferry, 渡轮
タクシー, takushii, taxi, 出租车
アパート, apato, apartment, 公寓
プール, puuru, pool, 游泳池
フレンド, furendo, friend, 朋友
フレンズ, furenzu, friends, 朋友们
ラベンダー, rabendaa, lavender, 薰衣草
コーヒー, koohii, coffee, 咖啡
コーラ, koora, cola, 可乐
ジュース, juusu, juice, 果汁
サラダ, sarada, salad, 沙拉
ワイン, wain, wine, 葡萄酒
ケーキ, keeki, cake, 蛋糕
カレー, karee, curry, 咖喱
チーズ, chiizu, cheese, 奶酪
リンゴ, ringo, apple, 苹果
イチゴ, ichigo, strawberry, 草莓
テニス, tenisu, tennis, 网球
ジョギング, jogingu, jogging, 慢跑
シーデイー, shiidee, CD, 光盘
パンダ, panda, panda, 熊猫
プレゼント, purezento, present, 礼物
チケット, chiketto, ticket, 票
パンフレット, panfuretto, pamphlet, 小册子
スケジュール表, sukejuuru hyou, schedule, 日程表
ボールペン, boorupen, ballpoint pen, 圆珠笔
ファックス, fakkusu, fax, 传真
メール, meeru, email, 电子邮件
チョコレート, chokoreeto, chocolate, 巧克力
アイスクリーム, aisukuriimu, ice cream, 冰淇淋
